"Code","Display","Codesystem","Category"
"47703008","Lactose ","http://snomed.info/sct","food"
"47898004","Product containing verapamil ","http://snomed.info/sct","medication"
"48603004","Product containing warfarin ","http://snomed.info/sct","medication"
"48698004","Product containing calcium channel blocker ","http://snomed.info/sct","medication"
"49998007","Sufentanil ","http://snomed.info/sct","medication"
"50318003","Product containing progesterone ","http://snomed.info/sct","medication"
"51420009","Silicon ","http://snomed.info/sct","environment"
"51905005","Mustard ","http://snomed.info/sct","food"
"51908007","Product containing prenylamine ","http://snomed.info/sct","medication"
"52017007","Medicinal product acting as antiemetic agent ","http://snomed.info/sct","medication"
"52408003","Iodinated (131-I) gamma globulin ","http://snomed.info/sct","biologic"
"52454007","Albumin ","http://snomed.info/sct","biologic"
"52836003","Paraformaldehyde ","http://snomed.info/sct","environment"
"53951001","Technetium (99m-Tc) oxidronate ","http://snomed.info/sct","medication"
"54791001","Metanil yellow stain ","http://snomed.info/sct","environment"
"55494003","Technetium (99m-Tc) albumin microspheres ","http://snomed.info/sct","medication"
"55673009","Product containing sodium iothalamate (125-I) ","http://snomed.info/sct","medication"
"55745002","Product containing propranolol ","http://snomed.info/sct","medication"
"55814006","Iodinated (131-I) aggregated albumin ","http://snomed.info/sct","medication"
"55830003","Product containing human menopausal gonadotropin ","http://snomed.info/sct","biologic"
"55867006","Product containing aminophylline ","http://snomed.info/sct","medication"
"57720001","Anise oil ","http://snomed.info/sct","environment"
"57952007","Medicinal product acting as antilipemic agent ","http://snomed.info/sct","medication"
"58281002","Gadolinium ","http://snomed.info/sct","environment"
"59057006","Product containing antihemophilic factor agent ","http://snomed.info/sct","biologic"
"59082006","Urokinase ","http://snomed.info/sct","biologic"
"59533004","Food additive ","http://snomed.info/sct","food"
"59941008","Product containing diltiazem ","http://snomed.info/sct","medication"
"60459006","Iron (59-Fe) dextran ","http://snomed.info/sct","medication"
"60533005","Medicinal product acting as astringent ","http://snomed.info/sct","medication"
"61020000","Product containing thyroid hormone ","http://snomed.info/sct","medication"
"61068006","Thioflavine T stain ","http://snomed.info/sct","environment"
"61078009","Progesterone receptor ","http://snomed.info/sct","biologic"
"61773008","Lidocaine hydrochloride ","http://snomed.info/sct","medication"
"61946003","Product containing estrogen receptor agonist ","http://snomed.info/sct","medication"
"62442005","Chloriodized oil ","http://snomed.info/sct","medication"
"62517004","Sodium chromate (51-Cr) ","http://snomed.info/sct","environment"
"63338004","Drug flavoring ","http://snomed.info/sct","medication"
"63754004","Yttrium ","http://snomed.info/sct","environment"
"63766005","Flour ","http://snomed.info/sct","food"
"64488003","Iodinated (125-I) human serum albumin ","http://snomed.info/sct","medication"
"64520006","Protamine sulfate ","http://snomed.info/sct","medication"
"65123005","Choline ","http://snomed.info/sct","environment"
"66493003","Product containing theophylline ","http://snomed.info/sct","medication"
"66562002","Cigarette smoking tobacco ","http://snomed.info/sct","environment"
"66859009","Product containing dipyridamole ","http://snomed.info/sct","medication"
"66925006","Copper ","http://snomed.info/sct","environment"
"67324005","Rice ","http://snomed.info/sct","food"
"67440007","Product containing alpha adrenergic receptor antagonist ","http://snomed.info/sct","medication"
"67507000","Medicinal product acting as antiarrhythmic agent ","http://snomed.info/sct","medication"
"67690002","Sodium iodide (123-I) ","http://snomed.info/sct","medication"
"68580003","Iron-59 ","http://snomed.info/sct","medication"
"68630002","Iodine-125 ","http://snomed.info/sct","medication"
"68967007","Iodocholesterol (131-I) ","http://snomed.info/sct","medication"
"69089000","Iron-52 ","http://snomed.info/sct","medication"
"69236009","Product containing amiodarone ","http://snomed.info/sct","medication"
"69783005","Iodipamide meglumine ","http://snomed.info/sct","medication"
"69839009","Povidone iodine (125-I) ","http://snomed.info/sct","medication"
"70154008","Sodium iodide (125-I) ","http://snomed.info/sct","medication"
"70544003","Gold-199 ","http://snomed.info/sct","medication"
